genus1,genus2,locus1,locus2,overlap_count,overlap
Adontomerus,Neotriadomerus,L477,L477,1,H
Adontomerus,Neotriadomerus,L554,L554,1,G
Adontomerus,Neotriadomerus,L557,L557,1,D
Adontomerus,Neotriadomerus,L751,L751,1,G
Adontomerus,Neotriadomerus,L888,L888,1,H
Adontomerus,Ormyrus,L430,L432,1,G
Aeschylia,Eutrichosoma,L505,L506,1,G
Aeschylia,Eutrichosoma,L514,L515,1,D
Aeschylia,Eutrichosoma,L513,L514,1,G
Aeschylia,Eutrichosoma,L418,L418,2,C D
Aeschylia,Eutrichosoma,L514,L514,2,C D
Aeschylia,Eutrichosoma,L505,L505,1,B
Aeschylia,Neodipara,L623,L624,1,D
Aeschylia,Neodipara,L622,L624,1,G
Aeschylia,Neodipara,L624,L624,1,D
Afroneodipara,Amerostenus,L973,L974,2,C D
Afroneodipara,Amerostenus,L973,L973,2,C D
Afroneodipara,Boucekius,L1043,L1043,1,G
Afroneodipara,Euderomphale,L394,L672,1,G
Afroneodipara,Euderomphale,L338,L394,1,G
Afroneodipara,Grooca,L358,L358,1,G
Afroneodipara,Naumanniola,L76,L77,1,D
Afroneodipara,Naumanniola,L36,L36,1,D
Afroneodipara,Naumanniola,L77,L77,2,C D
Afroneodipara,Neodipara,L18,L19,1,G
Afroneodipara,Neodipara,L269,L270,2,G H
Afroneodipara,Neodipara,L351,L353,1,G
Afroneodipara,Neodipara,L414,L415,1,G
Afroneodipara,Neodipara,L657,L658,1,A
Afroneodipara,Neodipara,L91,L93,1,G
Afroneodipara,Neodipara,L461,L461,2,B G
Afroneodipara,Neodipara,L555,L555,1,G
Afroneodipara,Neodipara,L558,L558,2,A G
Afroneodipara,Neodipara,L873,L873,1,G
Afroneodipara,Neodipara,L925,L925,1,G
Afroneodipara,Rotoita,L195,L196,1,G
Afroneodipara,Rotoita,L869,L870,2,C D
Afroneodipara,Rotoita,L196,L196,2,C D
Afroneodipara,Rotoita,L870,L870,2,C D
Afroneodipara,Spalangiopelta,L211,L212,1,G
Afroneodipara,Spalangiopelta,L211,L211,1,D
Agamerion,Epistenia,L148,L148,1,H
Agamerion,Epistenia,L392,L392,1,G
Agamerion,Epistenia,L399,L399,1,H
Agamerion,Epistenia,L399,L400,1,H
Agamerion,Epistenia,L571,L572,1,G
Agamerion,Epistenia,L802,L802,1,G
Agamerion,Epistenia,L951,L951,1,G
Agamerion,Homoporus,L47,L48,1,G
Agamerion,Lelaps,L483,L484,1,G
Agamerion,Lelaps,L111,L111,1,G
Agamerion,Lelaps,L742,L742,1,G
Agamerion,Neapterolelaps,L338,L339,1,G
